precinct,Name,n/a,n/a,1D88D3F7-F555-4343-A4A6-481B7F4D5B55,n/a,16C9B17C-7CFF-4F13-9D84-687326F60D38,F901FF06-DDAC-4784-812F-46EC012086C2,A869A967-3995-40D1-BF38-D3D6B5BDCE9B,n/a,FAF3F964-ED31-405C-B894-FFE28FFB5A69,n/a,4B32F748-1155-4BB5-B293-C4CA431F3530,DCD861B8-C3AB-4B9D-8A71-B68CCA0A23B2,84522EF1-9E2D-4037-8FDA-0D9D906E7F6D,E57E94DE-0BDE-4C5C-A75C-6510F9DEB412,D2DC06A2-1437-4CBC-8AD2-898893D1B6B9
17,Michael Brown,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,
17,Sarah Burks,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
17,John Finochetti,,,,,,,,,,,,,,,
17,Ann Fitzgerald,Yes,Yes,Yes Verbally,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
17,Laura Gitelson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
17,John Leonard,,,Yes Verbally,,,,Yes Verbally,,Yes Verbally,,,,,,Yes Verbally
17,Ann LeRoyer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
17,Angela Olszewski,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
17,Amy Slutzky,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
17,Allan Tosti,Yes,Yes,Yes,Yes,No,No,No Verbally,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes Verbally
17,Susan Webber,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
18,Nancy Bloom,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
18,Shirley Canniff,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
