precinct,name,D4FB9490-1894-4FDA-8B56-7F4F3ED9B091,644C66DB-A941-4A6B-84E8-F6BC74C141C9,9CDF26E3-3012-4632-8C7B-C1456DDF3064,99BD0065-026B-4EA4-B088-501D2FC573E1,A62D6806-BC94-4561-A4B0-64452E37D193,509E1F9B-270D-4409-B7F1-8A0487C52CF1,EB8CB5C3-1BB2-4E6C-85D3-13194B72280A,34EBB1ED-214E-4930-A9FA-DA40D22EAF55,86436A87-85C4-4462-8155-61ED1422AF89
16,Brooks Harrelson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
16,Kevin Koch,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
16,Marvin Lewiton,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
16,Carol Luddecke,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Abstain
16,Sandra Mostajo,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
16,Allen Reedy,Abstain,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
16,Barbara Thornton,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
16,John Weiss,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
17,Joshua Arnold,No,Abstain,Yes,Yes,Yes,Yes,Yes,Yes,Yes
17,Michael Brown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
17,Sarah Burks,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
17,John Finochetti,,,,,,,,,
17,Ann Fitzgerald,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
17,Laura Gitelson,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
17,John Leonard,Abstain Verbally,No Verbally,No Verbally,No Verbally,Abstain Verbally,No Verbally,Yes Verbally,Abstain Verbally,Yes Verbally
17,Ann LeRoyer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
17,Angela Olszewski,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
17,Amy Slutzky,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
17,Allan Tosti,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
17,Susan Webber,No,No,Yes,Yes,No,Yes,Yes,Yes,No
18,Nancy Bloom,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Abstain
18,Shirley Canniff,No,No,Yes,Yes,Yes,Yes,Yes,No,Abstain
18,Heather Cooke,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
18,John Donato,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
18,William Ford,Yes,Yes,Yes,Yes,No,Yes,Yes,Abstain,Abstain
18,Jon Gersh,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
18,Jeffrey Hadden,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
18,Gilbert Irizarry,Yes,Yes,Yes,Yes,No,Yes,Yes,Abstain,Abstain
18,David Levy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
18,Daniel Parmer,No,No,Yes,Yes,Yes,Yes,Yes,Abstain,Abstain
