Precinct,Name,n/a,n/a,D4225B2A-4451-41C8-8F51-1FC6E6CF754D,n/a,222072C0-5577-4FCF-A436-42FBD22B8480,A2594459-C799-4660-8A04-D074587BE1B6,44E061A4-CEA7-4860-BC83-0FE44334EC3A,n/a,
17,Ann Fitzgerald,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
17,Laura Gitelson,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
17,John Leonard,Yes Verbally,Yes Verbally,Yes Verbally,,,,Yes Verbally,,
17,Ann LeRoyer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
17,Angela Olszewski,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
17,Amy Slutzky,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
17,Allan Tosti,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
17,Susan Webber,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes
18,Nancy Bloom,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
18,Shirley Canniff,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
18,Heather Cooke,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
18,John Donato,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
18,William Ford,Yes,Abstain,Yes,Yes,Yes,Yes,Yes,No,No
18,Jon Gersh,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
18,Jeffrey Hadden,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
18,Gilbert Irizarry,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
18,David Levy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
18,Daniel Parmer,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
18,Carolyn Parsons,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
18,Michael Watson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
19,Melanie Brown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
19,Deborah Butler,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
19,Dganit Cohen,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
19,Neva Corbo-Hudek,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
19,Elaine Crowder,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
19,Christine Deshler,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
19,Michelle Durocher,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
19,Claire Johnson,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
