precinct,name,F2EE5268-B3D7-4FFB-946D-BBA6420CD08A,F269811E-0182-4910-88CA-B722AD80ED7A,C74EB903-21E9-4B6E-B8E8-173A93317BC3,33DB7292-EF25-4C2D-854C-671FA58B2E69,8B8D956A-CC99-495B-8E11-C1580FC1B801,D9012F47-326C-49BE-AF14-A6E27EE894FC,85DC6F60-7483-47B6-9914-C185FDD4E380,D99F5D0D-87C5-493E-84AD-64B31987F6E9
20,Samantha Dutra,Yes,Yes,Yes,Yes,Yes,No,,
20,Peter Fuller,Yes,Yes,Yes,Yes,No,Yes,Yes,Abstain
20,Maureen Gormley,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
20,Camilla Haase,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
20,Leonard Kardon,No,Yes,,,Yes,No,No,Yes
20,Michaela May,Yes,Yes,Yes,Abstain,Yes,Yes,Yes,Yes
20,Patricia Muldoon,Yes,Yes,Yes,No,Yes,Yes,Yes,Abstain
20,Kristin Pennarun,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
20,Katharine Radville,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
20,Robert Tosi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
21,Beth Benedikt,Yes,Yes,Yes,Yes,Abstain,No,Yes,Yes
21,Susan Doctrow,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,Yes
21,Daniel Dunn,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
21,Anne Ehlert,Yes,Yes,Yes,Yes,Yes,No,Abstain,Yes
21,Pamela Hallett,Yes Verbally,Yes Verbally,Yes,Yes,Yes,Yes,Yes,
21,Lori Leahy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
21,Leslie Mayer,No,No,Yes,Yes,Yes,No,No,No
21,Zarina Memon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
21,Christopher Rowell,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
21,Janice Weber,Yes,Yes,No,Yes Verbally,Yes,No,Yes,Yes
21,Jordan Weinstein,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
21,David White,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,Yes
